"page","category","record","cas_number","name","emission_likelihood","pbt_vpvb_req","pmt_vpvm","quality","p","p_rat","m","m_rat","t","t_rat","max_conc_myg_l","comments"
81,1,74,"75-91-2","tert-butyl hydroper- oxide","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 22d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 B (Ready Biodegradability: CO2Evolution Test)","vM","exp min. log Dow/Kow = 0.8 (ne- utral cmpd.)","T","muta_2","","HOT-L"
81,1,75,"76-03-9","Trichloroacetic acid","high","Y","vPvM","MQ","Pot. P/vP++","estimated t1/2 = 35d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 F (Ready Biodegradability: Mano- metric Respirometry Test)","vM","exp min. logDoc/Koc = 1.0 (ioniz- able cmpd.)","Pot. T","CramerClass III","","HOT-H"
82,1,76,"77-73-6","3a,4,7,7a-tetrahydro-4,7-methanoindene","high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 18d, weight-of-evidence (this study) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 C (Ready Biodegradability: Modi- fied MITI Test (I))","M","exp min. log Dow/Kow = 2.8 (ne- utral cmpd.)","T","Rep_1aRep_2STOTRE_1STOTRE_2","",""
82,1,77,"78-40-0","Triethyl phosphate","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 10d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 302 B (Inherent biodegradability: Zahn-Wellens/EMPA Test)","vM","exp min. logDoc/Koc = -0.3 (neu- tral cmpd.)","T","Carc_1b muta_2","",""
82,1,78,"80-15-9","a,a-dimethylbenzyl hydroperoxide","high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 24d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 B (Ready Biodegradability: CO2Evolution Test) (1981)","M","exp min. log Doc/Koc = 3.1 (neu- tral cmpd.)","T","muta_2STOTRE_1STOTRE_2","","DK-study"
82,1,79,"80-43-3","Bis(a,a-dimethylben- zyl) peroxide","high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 51d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 D (Ready Biodegradability: Closed Bottle Test)","M","exp min. log Doc/Koc = 4.0 (neu- tral cmpd.)","T","Rep_2","",""
82,1,80,"80-51-3","4,4'-oxydi(benzene- sulphonohydrazide)","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 80d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 C (Ready Biodegradability: Modi- fied MITI Test (I))","vM","QSAR min. log Dow/Kow = 0.2 (ion- izable cmpd.)","T","muta_2STOTRE_2","",""
82,1,81,"88-72-2","2-nitrotoluene","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 39d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 C (Ready Biodegradability: Modi- fied MITI Test (I))","vM","exp min. log Doc/Koc = 1.9 (neu- tral cmpd.)","T","Carc_1b Carc_2 muta_1b Rep_2","","HOT-L"
83,1,82,"88-73-3","1-chloro-2-nitroben- zene","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 64d, weight-of-evidence (this study) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 D (Ready Biodegradability: Closed Bottle Test)","vM","exp min. log Doc/Koc = 2.5 (neu- tral cmpd.)","T","Carc_1b Carc_2 muta_2Rep_2STOTRE_1STOTRE_2","",""
83,1,83,"97-74-5","Tetramethylthiuram monosulphide","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 24d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 F (Ready Biodegradability: Mano- metric Respirometry Test)","vM","exp min. log Dow/Kow = 1.2 (ne- utral cmpd.)","T","STOTRE_2","","HOT-L"
83,1,84,"99-99-0","4-nitrotoluene","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 39d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 C (Ready Biodegradability: Modi- fied MITI Test (I))","vM","exp min. log Doc/Koc = 2.0 (neu- tral cmpd.)","T","STO- TRE_2_Sus pected ED","","HOT-L"
83,1,85,"100-43-6","4-vinylpyridine","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 22d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 C (Ready Biodegradability: Modi- fied MITI Test (I))","vM","exp min. log Dow/Kow = 0.2 (ion- izable cmpd.)","T","muta_2","",""
83,1,86,"100-61-8","N-methylaniline","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 25d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 B (Ready Biodegradability: CO2Evolution Test)","vM","exp min. logDoc/Koc = 0.3 (ioniz- able cmpd.)","T","STOTRE_1STOTRE_2","",""
83,1,87,"100-97-0","Methenamine","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 249d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 D (Ready Biodegradability: Closed Bottle Test)","vM","exp min. log Dow/Kow = -7.5 (ionizable cmpd.)","T","Rep_2STOTRE_1","","DK-study"
84,1,88,"102-08-9","1,3-diphenyl-2-thiou- rea","high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 17d, weight-of-evidence (this study) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 F (Ready Biodegradability: Mano- metric Respirometry Test)","M","exp min. log Dow/Kow = 2.0 (ion- izable cmpd.)","T","Rep_2STOTRE_2","",""
84,1,89,"107-66-4","Dibutyl hydrogen phosphate","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 9d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 302 B (Inherent biodegradability: Zahn-Wellens/EMPA Test)","vM","exp min. log Doc/Koc = -8.3 (single_anion cmpd.)","T","Carc_2","",""
84,1,90,"108-42-9","3-chloroaniline","high","Y","vPvM& PMT","MQ","Pot. P/vP++","From data in the dossier, the water half-life is near the criteria for P, and the sediment vP cri- teria is met in a water-sediment system,","vM","exp min. logDoc/Koc = 1.5 (ioniz- able cmpd.)","T","ecotoxCarc_1bSTOTRE_1STOTRE_2","","DK-study"
84,1,91,"109-01-3","1-methylpiperazine","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 24d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 302 B (Inherent biodegradability: Zahn-Wellens/EMPA Test)","vM","exp min. logDoc/Koc = 2.9 (ioniz- able cmpd.)","T","Rep_2","",""
84,1,92,"119-64-2","1,2,3,4-tetrahy- dronaphthalene","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 24d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 D (Ready Biodegradability: Closed Bottle Test)","vM","exp min. log Doc/Koc = 2.7 (neu- tral cmpd.)","T","Carc_2_Su spected ED","",""
84,1,93,"345-92-6","Bis(4-fluorophenyl)ketone","high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 155d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 F (Ready Biodegradability: Mano- metric Respirometry Test)","M","exp min. log Dow/Kow = 3.4 (ne- utral cmpd.)","T","SuspectedED","","DK-study"
84,1,94,"482-89-3","2-(1,3-dihydro-3-oxo-2H-indol-2-ylidene)-1,2-dihydro-3H-indol-3-one","high","Y","vPvM& PMT","MQ","Pot.P/vP++","estimated t1/2 = 98d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screentests for substance/main transformation prod-ucts, e.g. 302 B (Inherent biodegradability: Zahn-Wellens/EMPA Test)","vM","exp min. logDoc/Koc = 2.9 (ioniz- able cmpd.)","T","STOTRE_2","",""
85,1,95,"584-84-9","4-methyl-m-phe- nylene diisocyanate","high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 26d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 302 C (Inherent Biodegradability: Modified MITI Test (II))","M","read-across min. log Dow/Kow = 3.4 (neutral cmpd.)","T","Carc_2STOTRE_1","",""
85,1,96,"599-61-1","3,3'-sulphonyldiani- line","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 109d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 D (Ready Biodegradability: Closed Bottle Test)","vM","exp min. logDoc/Koc = 1.8 (ioniz- able cmpd.)","T","STO- TRE_2_Sus pected ED","",""
85,1,97,"1758-73-2","Aminoimino- methanesulphinic acid","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 18d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 A (new version) (Ready Biodegra- dability: DOC Die Away Test)","vM","QSAR min. log Dow/Kow = -4.3 (zwitterion cmpd.)","T","STOTRE_2","",""
85,1,98,"1761-71-3","4,4'-methylenebis(cy- clohexylamine)","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 17d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 C (Ready Biodegradability: Modi- fied MITI Test (I))","vM","exp min. log Doc/Koc = -3.6 (ion- izable cmpd.)","T","STO- TRE_2_Sus pected ED","",""
85,1,99,"2440-22-4","2-(2H-benzotriazol-2- yl)-p-cresol","high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 27d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 B (Ready Biodegradability: CO2Evolution Test)","M","exp min. logDoc/Koc = 3.0 (ioniz- able cmpd.)","T","STO- TRE_2_Sus pected ED","","DK-study"
85,1,100,"2554-06-05","2,4,6,8-tetramethyl-2,4,6,8-tetravinylcy- clotetrasiloxane","high","Y","PMT","MQ","Pot.P/vP++","The P conclusion remains controversial; cur-rently D4 is being considered as SVHC based on vPvB and PMT properties(https://echa.europa.eu/docu-ments/10162/50488161-546d-2048-828a- b6d9ef29f310)","M","exp min. logDoc/Koc = 3.8 (neu- tral cmpd.)","T","ecotox","",""
86,1,101,"284-95-7,2680-03-07","N,N-dimethylacryla- mide","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 11d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 C (Ready Biodegradability: Modi- fied MITI Test (I))","vM","exp min. log Doc/Koc = 1.3 (neu- tral cmpd.)","T","muta_2","",""
86,1,102,"3006-86-8","Cyclohexyli- denebis[tert-butyl] peroxide","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 107d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 B (Ready Biodegradability: CO2Evolution Test) 17th July 1992","vM","exp min. log Doc/Koc = 2.7 (neu- tral cmpd.)","T","Carc_2 muta_2","",""
86,1,103,"3468-63-1","1-[(2,4-dinitro- phenyl)azo]-2-naph- thol","high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 295d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 C (Ready Biodegradability: Modi- fied MITI Test (I))","M","exp min. log Dow/Kow = 2.5 (ion- izable cmpd.)","T","ecotox Carc_2 muta_2_S uspected ED","",""
86,1,104,"3710-84-7","N,N-diethylhydroxyla- mine","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 14d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 F (Ready Biodegradability: Mano- metric Respirometry Test)","vM","exp min. log Dow/Kow = -0.2 (ionizable cmpd.)","T","muta_2","",""
86,1,105,"5026-74-4","p-(2,3-epoxypropoxy)- N,N-bis(2,3-epoxypro- pyl)aniline","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 114d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 B (Ready Biodegradability: CO2Evolution Test) July 17, 1992","vM","exp min. logDoc/Koc = 1.9 (ioniz- able cmpd.)","T","Carc_2 muta_2Rep_2STOTRE_2","","DK-study"
86,1,106,"6674-22-2","1,8-diazabicy- clo[5.4.0]undec-7-ene","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 19d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformationproducts, e.g. 302 B (Inherent biodegradability:Zahn-Wellens/EMPA Test)","vM","exp min. log Doc/Koc = -6.0 (ion- izable cmpd.)","T","Carc_1b muta_2","",""
87,1,107,"6864-37-5","2,2'-dimethyl-4,4'- methylenebis(cyclo- hexylamine)","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 20d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 302 B (Inherent biodegradability: Zahn-Wellens/EMPA Test)","vM","exp min. log Doc/Koc = -2.2 (ion- izable cmpd.)","T","STO- TRE_2_Sus pected ED","",""
87,1,108,"7226-23-5","Tetrahydro-1,3-dime- thyl-1H-pyrimidin-2- one","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 19d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 E (Ready biodegradability: Modi- fied OECD Screening Test)","vM","exp min. log Doc/Koc = 0.9 (neu- tral cmpd.)","T","Rep_2","","HOT-L"
87,1,109,"25321-09-9","Diisopropylbenzene","high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 27d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 302 C (Inherent Biodegradability: Modified MITI Test (II))","M","exp min. log Doc/Koc = 3.8 (neu- tral cmpd.)","T","STOTRE_2","",""
87,1,110,"26471-62-5","m-tolylidene diisocya- nate","high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 26d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 302 C (Inherent Biodegradability: Modified MITI Test (II))","M","exp min. log Dow/Kow = 3.4 (ne- utral cmpd.)","T","Carc_2STOTRE_1","",""
87,1,111,"38083-17-9","Climbazole","high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 72d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 F (Ready Biodegradability: Mano- metric Respirometry Test)","M","exp min. logDoc/Koc = 3.5 (ioniz- able cmpd.)","T","ecotox","",""
87,1,112,"53988-10-6","1,3-dihydro-4(or 5)- methyl-2H-benzimid- azole-2-thione","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 25d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformationproducts, e.g. 301 C (Ready Biodegradability:Modified MITI Test (I))","vM","exp min. logDoc/Koc = 1.9 (ioniz- able cmpd.)","T","Rep_2STOTRE_2","","DK-study"
88,1,113,"68937-41-7","Phenol, isopropy- lated, phosphate (3:1)","high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 66d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 D (Ready Biodegradability: Closed Bottle Test)","M","exp min. log Doc/Koc = 3.7 (neu- tral cmpd.)","T","Rep_2STOTRE_2","",""
88,1,114,"71604-74-5","m-(2,3-epoxypro- poxy)-N,N-bis(2,3- epoxypropyl)aniline","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 114d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 B (Ready Biodegradability: CO2Evolution Test)","vM","exp min. logDoc/Koc = 1.9 (ioniz- able cmpd.)","T","muta_2STOTRE_2","","DK-study"
88,1,115,"71868-10-5","2-methyl-1-(4-methyl- thiophenyl)-2-mor- pholinopropan-1-one","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 140d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 B (Ready Biodegradability: CO2Evolution Test)","vM","exp min. logDoc/Koc = 1.9 (ioniz- able cmpd.)","T","Rep_1b","",""
88,1,116,"110553-27-0","4,6-bis(octylthiome- thyl)-o-cresol","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 20d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 B (Ready Biodegradability: CO2Evolution Test)","vM","exp min. log Doc/Koc = 2.0 (neu- tral cmpd.)","T","ecotox","",""
88,1,117,"27955-94-8","4,4',4''-(ethan-1,1,1- triyl)triphenol","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 38d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 B (Ready Biodegradability: CO2Evolution Test)","vM","exp min. logDoc/Koc = 1.7 (ioniz- able cmpd.)","T","SuspectedED","",""
88,1,118,"74091-64-8","2,5-bis-isocyanatome- thyl-bicy- clo[2.2.1]heptane","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 26d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformationproducts, e.g. 301 C (Ready Biodegradability:Modified MITI Test (I))","vM","exp min. logDoc/Koc = 0.2 (ioniz- able cmpd.)","T","STOTRE_1","","HOT-L"
89,1,119,"162881-26-7","Phenyl bis(2,4,6-tri- methylbenzoyl)-phos- phine oxide","high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 107d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 B (Ready Biodegradability: CO2Evolution Test)","M","exp min. log Doc/Koc = 3.9 (neu- tral cmpd.)","T","ecotox","",""
89,1,120,"94239-04-0","2-fluoro-6-trifluoro- methylpyridine","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 183d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 302 C (Inherent Biodegradability: Modified MITI Test (II))","vM","exp min. log Doc/Koc = 1.7 (neu- tral cmpd.)","T","STOTRE_2","",""
89,1,121,"25068-38-6","4,4'-Isopropylidenedi- phenol, oligomeric re- action products with1-chloro-2,3-epoxy- propane","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 30d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 F (Ready Biodegradability: Mano- metric Respirometry Test)","vM","exp min. log Doc/Koc = 2.1 (neu- tral cmpd.)","T","SuspectedED","",""
89,1,122,"1112-39-6","Dimethoxydime- thylsilane","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 19d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 310 (Ready Biodegradability - CO2 in Sealed Vessels (Headspace Test)","vM","exp min. log Doc/Koc = 0.7 (neu- tral cmpd.)","T","Rep_1bRep_2STOTRE_1","",""
89,2,123,"62037-80-3","ammonium 2,3,3,3-tetrafluoro-2-(hep- tafluoropropoxy)pro- panoate","medium","Y","vPvM& PMT","HQ","vP","All biodegradation results in 301B and 302C im-ply no significant biodegradation. Therefore, this substance is assessed to be persistent in water. (Berger et al. 2018)","vM","exp min. log Doc/Koc = -5.1 (single_anion cmpd.)","T","STOTRE_2","M (DW:0.011)","SVHC"
90,2,124,"88-85-7","Dinoseb","high","Y","vPvM& PMT","HQ","vP","measured half-life = 314 d (soil)","vM","exp min. log Doc/Koc = -2.3 (ion- izable cmpd.)","T","SVHC","","SVHC, HOT-L"
90,2,125,"561-41-1","4,4'-bis(dimethyla- mino)-4''-(methyla- mino)trityl alcohol","low","Y","vPvM& PMT","HQ","vP","Due to lack of other information the substancewas assessed by PBT assessment in water. Therefore, this substance is assessed to be per- sistent in water. (Berger et al. 2018)","vM","exp min. log Dow/Kow = -0.6 (ionizable cmpd.)","T","SVHC","","SVHC, DK-study"
90,2,126,"330-54-1","Diuron","very high","Y","vPvM& PMT","HQ","vP","measured half-life = 2 241 d (soil)","vM","exp min. log Doc/Koc = 2.1 (neu- tral cmpd.)","T","ecotoxCarc_2STO- TRE_2_Sus pected ED","A;E;H;Q;S(DW&GW:2.1)","WFD substance"
90,2,127,"127-18-4","Tetrachloroethylene","very high","Y","vPvM& PMT","HQ","vP","No significant biodegradation in 301 C tests.The PBT assessment evaluates the substance to be persistent. Therefore, this substance is as- sessed to be persistent in water. (Berger et al.2018)","vM","exp min. log Doc/Koc = 2.2 (neu- tral cmpd.)","T","Carc_1bCarc_2Rep_2STO- TRE_2_ED","G;H;J (DW:180)","DWD substance"
90,2,128,"56773-42-3","Tetraethylammonium heptadecafluorooc- tanesulphonate","medium","N","vPvM& PMT","HQ","vP","on SVHC list - vPvB substance","vM","exp min. log Doc/Koc = 0.0 (single_anion cmpd.)","T","SVHC","A;E;H;I;L;S(DW&GW:0.14)","SVHC"
90,2,129,"79-01-6","Trichloroethylene","very high","Y","PMT","HQ","P","No significant biodegradation in 301C and Dtests. The PBT assessment evaluates the sub- stance to be persistent. Therefore, this sub- stance is assessed to be persistent in water. (Berger et al. 2018)","vM","exp min. log Doc/Koc = 2.2 (neu- tral cmpd.)","T","SVHC","G;H;O;S(DW&GW:21.6)","SVHC, HOT-H, DK-study"
90,2,130,"107-06-2","1,2-dichloroethane","very high","Y","PMT","HQ","P","Due to lack of other information the substancewas assessed by PBT assessment in water. Therefore, this substance is assessed to be per- sistent in water. (Berger et al. 2018)","vM","exp min. log Doc/Koc = 1.1 (neu- tral cmpd.)","T","SVHC","H;O(DW&GW:81.9)","SVHC, HOT-H, DK-study"
90,2,131,"120-12-7","Anthracene","medium","N","PMT","HQ","P","On SVHC list - PBT substance","M","exp min. logDoc/Koc = 3.6 (neu- tral cmpd.)","T","SVHC","H (GW:det.)","SVHC"
90,2,132,"96-18-4","1,2,3-trichloropro- pane","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","P data for this substance is variable and difficultto conclude; however, its identification in moni- toring studies in DW and GW indicates it is per- sistent enough.","vM","exp min. log Doc/Koc = 1.9 (neu- tral cmpd.)","T","SVHC","O (GW: 1-5)","SVHC, HOT-H, DK-study"
91,2,133,"111-96-6","Bis(2-methoxyethyl)ether","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 38d, weight-of-evidence (this study) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 302 B (Inherent biodegradability: Zahn-Wellens/EMPA Test)","vM","exp min. log Dow/Kow = -0.4 (ne- utral cmpd.)","T","SVHC","S (DW:0.150)","SVHC, HOT-L"
91,2,134,"85-42-7","Cyclohexane-1,2-di- carboxylic anhydride","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 21d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 B (Ready Biodegradability: CO2Evolution Test)","vM","exp min. log Doc/Koc = 2.3 (neu- tral cmpd.)","T","SVHC","","SVHC"
91,2,135,"101-80-4","4,4'-oxydianiline","low","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 58d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 D (Ready Biodegradability: Closed Bottle Test)","vM","exp min. logDoc/Koc = 1.2 (ioniz- able cmpd.)","T","SVHC","","SVHC, DK-study"
91,2,136,"25550-51-0","Hexahydro- methylphthalic anhy- dride","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 32d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 F (Ready Biodegradability: Mano- metric Respirometry Test)","vM","read-across min. log Dow/Kow = 2.1 (neutral cmpd.)","T","SVHC","","SVHC"
91,2,137,"3380-34-5","Triclosan","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","The P conclusion of triclosan remains contro-versial, with P assessment still under develop- ment. It is observed in monitoring studies, indi- cating it may be P enought to reach drinking water.","vM","exp min. logDoc/Koc = 0.9 (ioniz- able cmpd.)","T","ecotox_ED","A; D; K; N; R (DW&GW:2.110)","restricted bio- cide (Decision (EU) 2016/110), DK-study"
91,2,138,"1634-04-4","tert-butyl methyl ether","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","Though definitive P conclusions can not befound an evaluation of dossier information could not rule out definitely that the P criteria was not met.","vM","exp min. log Doc/Koc = 0.2 (neu- tral cmpd.)","T","ED","E;H;O;S(DW&GW:57.8)","regulated fueloxygenate (EU Directive98/70/EC)"
91,2,139,"98-95-3","Nitrobenzene","medium","N","vPvM& PMT","MQ","Pot.P/vP++","biodegradation screening tests give conflictingresults, but this is detected in monitoring stud- ies","vM","exp min. logDoc/Koc = 1.7 (neu- tral cmpd.)","T","SVHC","H (DW:100)","SVHC, HOT-L"
